Sample Number,Result,Time,Method
0,2.0,338.03101004166666,approx
1,2.0,153.58039720833332,approx
2,2.0,176.1070045,approx
3,2.0,248.90902445833333,approx
4,3,timeout,timeout
5,2.0,938.6131032916667,approx
6,2.0,133.45131070833332,approx
7,2.0,175.31140166666665,approx
8,2.0,232.313509,approx
9,2.0,119.125326375,approx
10,2.0,161.93915333333334,approx
11,2.0,197.11334183333332,approx
12,3,timeout,timeout
13,2.0,280.57961708333335,approx
14,2.0,247.77179379166665,approx
15,2.0,172.98060475,approx
16,2.0,228.33081266666667,approx
17,2.0,1606.8131107916668,approx
18,2.0,162.006795625,approx
19,3,timeout,timeout
